,rpm,t,id,iq,torque,motorpwr,accpwr,current,voltage,vout,vd,vq,phasepwr
0,1,160,0.0,283.0,159.5271,16.706507623994636,18.511365788359708,0.06121726692756148,302.3879806158282,170.41920590977946,-0.05215881563000013,3.5117636839739683,993.9387357124506
1,11,160,0.0,283.0,159.5271,183.771583863941,203.62502367195682,0.6737839870265143,302.21101009039165,170.31703192928006,-0.5737469719300013,3.9053005237136493,1117.0636916070346
2,21,160,0.0,283.0,159.5271,350.83666010388737,388.7386815555539,1.287068044112656,302.0338323262995,170.214738299487,-1.095335128230003,4.298837363453331,1255.441132207198
3,31,160,0.0,283.0,159.5271,517.9017363438337,573.852339439151,1.901070698964129,301.85644695931285,170.112324810107,-1.6169232845300041,4.692374203193013,1404.5702710589205
4,41,160,0.0,283.0,159.5271,684.9668125837801,758.9659973227481,2.5157932153153664,301.678853624339,170.00979125035357,-2.138511440830005,5.085911042932693,1561.3734085161213
5,51,160,0.0,283.0,159.5271,852.0318888237265,944.0796552063453,3.1312368598657656,301.50105195542835,169.90713740894563,-2.6600995971300074,5.479447882672376,1723.7575989314323
6,61,160,0.0,283.0,159.5271,1019.0969650636729,1129.1933130899424,3.747450932219911,301.3230277099253,169.80435506288217,-3.1816877534300083,5.872984722412056,1890.2850746647562
7,71,160,0.0,283.0,159.5271,1186.1620413036194,1314.3069709735396,4.364368484240175,301.1448002291466,169.7014553788776,-3.7032759097300105,6.2665215621517385,2059.951244981472
8,81,160,0.0,283.0,159.5271,1353.2271175435656,1499.4206288571365,4.981907274363258,300.9663932726801,169.59845207453634,-4.224864066030011,6.660058401891419,2232.04047106565
9,91,160,0.0,283.0,159.5271,1520.292193783512,1684.5342867407337,5.60040846419953,300.7877082789364,169.49528824529827,-4.746452222330013,7.0535952416311005,2406.0328887658848
10,101,160,0.0,283.0,159.5271,1687.3572700234583,1869.6479446243306,6.219536111425072,300.6088423016529,169.3920199251648,-5.268040378630014,7.447132081370782,2581.543709439205
11,111,160,0.0,283.0,159.5271,1854.4223462634047,2054.761602507928,6.839405696954671,300.4297619783934,169.28862785232434,-5.789628534930015,7.840668921110464,2758.2830982770847
12,121,160,0.0,283.0,159.5271,2021.4874225033511,2239.875260391525,7.460019861465384,300.2504665462663,169.18511158632128,-6.311216691230016,8.234205760850145,2936.0291962633514
13,131,160,0.0,283.0,159.5271,2188.5524987432977,2424.988918275122,8.081381258180613,300.07095523875523,169.0814706846072,-6.832804847530019,8.627742600589826,3114.609654026407
14,141,160,0.0,283.0,159.5271,2355.6175749832437,2610.1025761587193,8.703492552944697,299.8912272856979,168.97770470252863,-7.35439300383002,9.021279440329508,3293.8887681845067
15,151,160,0.0,283.0,159.5271,2522.68265122319,2795.216234042316,9.326356424298051,299.7112819132639,168.87381319331445,-7.87598116013002,9.41481628006919,3473.7583683905655
16,161,160,0.0,283.0,159.5271,2689.7477274631365,2980.329891925913,9.94997556355284,299.5311183439332,168.7697957080632,-8.39756931643002,9.80835311980887,3654.131258087044
17,171,160,0.0,283.0,159.5271,2856.812803703083,3165.4435498095104,10.57435267486919,299.3507357964739,168.66565179573047,-8.919157472730022,10.201889959548552,3834.9364225848653
18,181,160,0.0,283.0,159.5271,3023.8778799430297,3350.557207693108,11.199490475331942,299.17013348592025,168.56138100311605,-9.440745629030024,10.595426799288234,4016.1154793881483
19,191,160,0.0,283.0,159.5271,3190.9429561829756,3535.6708655767043,11.825391695027966,298.98931062355,168.45698287485095,-9.962333785330026,10.988963639027915,4197.620014587798
20,201,160,0.0,283.0,159.5271,3358.008032422922,3720.784523460302,12.452059077124044,298.80826641686247,168.3524569533847,-10.48392194163003,11.382500478767598,4379.409560035339
21,211,160,0.0,283.0,159.5271,3525.0731086628684,3905.8981813438986,13.079495377945264,298.62700006955527,168.24780277897185,-11.005510097930028,11.776037318507278,4561.450039928493
22,221,160,0.0,283.0,159.5271,3692.138184902815,4091.0118392274962,13.707703367054037,298.4455107815017,168.1430198896591,-11.527098254230031,12.16957415824696,4743.7125654462125
23,231,160,0.0,283.0,159.5271,3859.203261142761,4276.125497111093,14.336685827329646,298.2637977487281,168.03810782127198,-12.048686410530033,12.563110997986643,4926.172490377778
24,241,160,0.0,283.0,159.5271,4026.2683373827076,4461.239154994691,14.966445555048393,298.08186016339016,167.9330661074014,-12.570274566830033,12.956647837726322,5108.80866454315
25,251,160,0.0,283.0,159.5271,4193.333413622654,4646.352812878287,15.596985359964291,297.8996972137499,167.82789427939025,-13.091862723130037,13.350184677466006,5291.602838596396
26,261,160,0.0,283.0,159.5271,4360.3984898626,4831.466470761885,16.228308065390404,297.7173080841523,167.7225918663198,-13.613450879430035,13.743721517205685,5474.539185771309
27,271,160,0.0,283.0,159.5271,4527.463566102547,5016.580128645482,16.860488085215223,297.53467127642494,167.61714645621447,-14.135039035730037,14.137258356945367,5657.603914752572
28,281,160,0.0,283.0,159.5271,4694.528642342493,5201.693786529079,17.493313539312496,297.35184800273623,167.51159338993617,-14.656627192030038,14.530795196685048,5840.784954137204
29,291,160,0.0,283.0,159.5271,4861.59371858244,5386.807444412676,18.12700202296968,297.16877539980766,167.40589637335412,-15.178215348330038,14.92433203642473,6024.071693572491
30,301,160,0.0,283.0,159.5271,5028.658794822386,5571.921102296273,18.761484837626238,296.9854733146534,167.30006686514727,-15.699803504630042,15.317868876164411,6207.454770089029
31,311,160,0.0,283.0,159.5271,5195.723871062332,5757.034760179869,19.396764875630637,296.8019409116739,167.19410438288205,-16.221391660930042,15.711405715904093,6390.925890719951
32,321,160,0.0,283.0,159.5271,5362.788947302279,5942.148418063468,20.032845043390726,296.61817735120803,167.08800844177983,-16.742979817230044,16.104942555643774,6574.477684441713
33,331,160,0.0,283.0,159.5271,5529.854023542225,6127.262075947065,20.66989049291863,296.43413492083937,166.98175149506417,-17.264567973530045,16.498479395383455,6758.103577953168
34,341,160,0.0,283.0,159.5271,5696.9190997821715,6312.375733830661,21.30741746461994,296.2499533787149,166.87541423213887,-17.786156129830044,16.892016235123137,6941.797690947108
35,351,160,0.0,283.0,159.5271,5863.984176022118,6497.489391714259,21.94591560197451,296.0654912668332,166.76891498218865,-18.307744286130045,17.28555307486282,7125.554747407931
36,361,160,0.0,283.0,159.5271,6031.049252262063,6682.603049597855,22.585225637029822,295.88079459770574,166.6622803105495,-18.829332442430047,17.6790899146025,7309.37000015396
37,371,160,0.0,283.0,159.5271,6198.11432850201,6867.7167074814515,23.225350547786128,295.69586251098815,166.5555097205013,-19.350920598730053,18.07262675434218,7493.239166379756
38,381,160,0.0,283.0,159.5271,6365.179404741956,7052.830365365049,23.86629332682568,295.51069414212367,166.44860271289198,-19.87250875503005,18.466163594081863,7677.1583723770045
39,391,160,0.0,283.0,159.5271,6532.244480981903,7237.944023248647,24.50805698140215,295.3252886223165,166.34155878612208,-20.394096911330056,18.859700433821544,7861.124105948396
40,401,160,0.0,283.0,159.5271,6699.30955722185,7423.057681132244,25.150644533530613,295.13964507850665,166.23437743613013,-20.915685067630054,19.253237273561226,8045.133175296819
41,411,160,0.0,283.0,159.5271,6866.374633461796,7608.171339015841,25.794454259848038,294.9536484485735,166.1269922317699,-21.437273223930056,19.646774113300907,8229.182673387064
42,421,160,0.0,283.0,159.5271,7033.439709701742,7793.284996899437,26.438303492855745,294.76764040515764,166.01960043783228,-21.95886138023006,20.04031095304059,8413.269946950482
43,431,160,0.0,283.0,159.5271,7200.504785941689,7978.398654783036,27.08386195578241,294.58113856521805,165.91192355033883,-22.48044953653006,20.43384779278027,8597.392569443386
44,441,160,0.0,283.0,159.5271,7367.569862181635,8163.512312666632,27.729823464720088,294.394520285286,165.8041794361843,-23.002037692830058,20.82738463251995,8781.548317384262
45,451,160,0.0,283.0,159.5271,7534.634938421582,8348.625970550229,28.376047572762793,294.20782614047243,165.6963915214201,-23.523625849130063,21.220921472259633,8965.735149588256
46,461,160,0.0,283.0,159.5271,7701.700014661527,8533.739628433827,29.02427817888955,294.02055231836243,165.58826892981273,-24.04521400543006,21.614458311999314,9149.951188894078
47,471,160,0.0,283.0,159.5271,7868.765090901475,8718.853286317424,29.67277799634837,293.8332007210986,165.48010143469932,-24.566802161730067,22.007995151738996,9334.194706041859
48,481,160,0.0,283.0,159.5271,8035.83016714142,8903.96694420102,30.32137284795334,293.6458216684699,165.37191808822368,-25.08839031803007,22.401531991478677,9518.464105412671
49,491,160,0.0,283.0,159.5271,8202.895243381368,9089.08060208462,30.972339240854456,293.4577574775608,165.26333917697735,-25.60997847433007,22.79506883121836,9702.757912384133
50,501,160,0.0,283.0,159.5271,8369.960319621314,9274.194259968215,31.623407407478005,293.26966388422323,165.15474329023107,-26.131566630630065,23.188605670958037,9887.07476209269
51,511,160,0.0,283.0,159.5271,8537.02539586126,9459.307917851813,32.27533846605554,293.08132100140017,165.04600347613322,-26.653154786930067,23.582142510697718,10071.413389423624
52,521,160,0.0,283.0,159.5271,8704.090472101207,9644.42157573541,32.92813584062745,292.89272783988633,164.93711916356588,-27.174742943230076,23.975679350437403,10255.772620075322
53,531,160,0.0,283.0,159.5271,8871.155548341152,9829.535233619006,33.58180297725926,292.7038834041134,164.82808977773743,-27.69633109953007,24.36921619017708,10440.15136256585
54,541,160,0.0,283.0,159.5271,9038.2206245811,10014.648891502604,34.23638512347783,292.5147746220709,164.71890777151907,-28.217919255830076,24.76275302991677,10624.548601068118
55,551,160,0.0,283.0,159.5271,9205.285700821045,10199.7625493862,34.89176043218961,292.32543669538404,164.6095934685786,-28.739507412130077,25.15628986965645,10808.963388975155
56,561,160,0.0,283.0,159.5271,9372.350777060992,10384.8762072698,35.54805775440034,292.1358323989973,164.50012537702023,-29.261095568430076,25.549826709396125,10993.39484311038
57,571,160,0.0,283.0,159.5271,9539.415853300938,10569.989865153395,36.20523884687037,291.94597278138275,164.3905098756822,-29.782683724730074,25.943363549135807,11177.842138508686
58,581,160,0.0,283.0,159.5271,9706.480929540885,10755.103523036993,36.86330726857174,291.75585681435325,164.28074637094048,-30.304271881030083,26.336900388875495,11362.304503703856
59,591,160,0.0,283.0,159.5271,9873.54600578083,10940.217180920588,37.52226660162703,291.56548346303356,164.17083426530954,-30.825860037330084,26.730437228615177,11546.781216465963
60,601,160,0.0,283.0,159.5271,10040.611082020776,11125.330838804184,38.18219305625205,291.3748307102924,164.06076084719265,-31.34744819363008,27.12397406835485,11731.271599939511
61,611,160,0.0,283.0,159.5271,10207.676158260723,11310.444496687782,38.84287244721054,291.18396043424445,163.9505618419361,-31.869036349930084,27.517510908094533,11915.775019139015
62,621,160,0.0,283.0,159.5271,10374.741234500669,11495.558154571378,39.50452624149524,290.99280865307566,163.84020030962222,-32.39062450623008,27.911047747834214,12100.29087776411
63,631,160,0.0,283.0,159.5271,10541.806310740616,11680.671812454979,40.16708551104535,290.8013952801026,163.72968774720974,-32.91221266253009,28.304584587573903,12284.818615300725
64,641,160,0.0,283.0,159.5271,10708.871386980562,11865.785470338575,40.8305539566901,290.6097192461558,163.61902353741334,-33.43380081883009,28.698121427313584,12469.357704378801
