,rpm,t,id,iq,torque,motorpwr,accpwr,current,voltage,vout,vd,vq,phasepwr
0,1,160,0.0,425.0,149.0475,15.609029406836463,17.295323442478075,0.057195583310241244,302.3891424802253,171.46752611950788,-0.033379421944391544,2.3662334787469765,1005.7492831362197
1,11,160,0.0,425.0,149.0475,171.69932347520108,190.24855786725882,0.6294953801491748,302.2238050689185,171.37206852058281,-0.36717364138830694,2.611068266216741,1120.6222485802296
2,21,160,0.0,425.0,149.0475,327.7896175435657,363.2017922920396,1.2024212839965198,302.058286775297,171.27650648920462,-0.7009678608322225,2.8559030536865055,1249.7846159586238
3,31,160,0.0,425.0,149.0475,483.87991161193037,536.1550267168204,1.7759743228743172,301.8925873023652,171.18083985390285,-1.034762080276138,3.1007378411562705,1389.256530432924
4,41,160,0.0,425.0,149.0475,639.970205680295,709.1082611416011,2.3501555270564225,301.72670635247704,171.0850684428315,-1.3685562997200533,3.3455726286260346,1536.2325954112712
5,51,160,0.0,425.0,149.0475,796.0604997486596,882.061495566382,2.9249659290746757,301.56064362733395,170.98919208376776,-1.7023505191639692,3.5904074160957995,1688.7546375502343
6,61,160,0.0,425.0,149.0475,952.1507938170242,1055.0147299911628,3.500445708658632,301.3943875190121,170.89320407487375,-2.0361447386078844,3.835242203565564,1845.448081979181
7,71,160,0.0,425.0,149.0475,1108.2410878853889,1227.9679644159435,4.076478468074063,301.22797165481705,170.7971238308833,-2.3699389580518,4.0800769910353285,2005.3353284435252
8,81,160,0.0,425.0,149.0475,1264.3313819537536,1400.9211988407244,4.6532746362057615,301.0613352418437,170.70091625299636,-2.7037331774957156,4.3249117785050935,2167.7097809708316
9,91,160,0.0,425.0,149.0475,1420.4216760221182,1573.8744332655049,5.230650850804595,300.8945312534462,170.60461192539313,-3.037527396939631,4.5697465659748575,2332.0519651841723
10,101,160,0.0,425.0,149.0475,1576.5119700904827,1746.8276676902856,5.80867106647509,300.7275412131389,170.50820018066975,-3.3713216163835464,4.8145813534446225,2497.973538873453
11,111,160,0.0,425.0,149.0475,1732.6022641588474,1919.7809021150665,6.387337420363698,300.5603645035005,170.41168066235778,-3.7051158358274616,5.0594161409143865,2665.179542224952
12,121,160,0.0,425.0,149.0475,1888.692558227212,2092.7341365398474,6.9666520590836365,300.39300050437436,170.31505301240963,-4.038910055271378,5.3042509283841515,2833.442595583453
13,131,160,0.0,425.0,149.0475,2044.7828522955767,2265.6873709646284,7.546617138767349,300.22544859285375,170.21831687118998,-4.372704274715293,5.549085715853916,3002.5849948717237
14,141,160,0.0,425.0,149.0475,2200.873146363941,2438.6406053894084,8.127234825119348,300.05770814326667,170.1214718774669,-4.7064984941592085,5.793920503323681,3172.466094252358
15,151,160,0.0,425.0,149.0475,2356.9634404323056,2611.5938398141893,8.708507293469394,299.8897785271603,170.02451766840295,-5.040292713603123,6.0387552907934445,3342.973279241495
16,161,160,0.0,425.0,149.0475,2513.0537345006705,2784.5470742389703,9.290436728825998,299.7216591132858,169.9274538795465,-5.374086933047039,6.2835900782632095,3514.015414174262
17,171,160,0.0,425.0,149.0475,2669.144028569035,2957.500308663751,9.873025325930353,299.55334926758235,169.83028014482235,-5.7078811524909545,6.5284248657329735,3685.51801992282
18,181,160,0.0,425.0,149.0475,2825.2343226374,3130.453543088532,10.456285815091654,299.3848453122637,169.73299434085962,-6.041675371934871,6.773259653202739,3857.419678760297
