 s mph hp 
 0.68 10.80 -INF 
 0.75 10.90 -INF 
 0.81 11.00 1.59 
 0.87 11.10 1.77 
 0.94 11.20 2.01 
 0.97 11.30 2.16 
 1.01 11.40 2.31 
 1.05 11.50 2.48 
 1.09 11.60 2.70 
 1.12 11.70 2.96 
 1.16 11.80 3.25 
 1.20 11.90 3.57 
 1.22 12.00 3.83 
 1.24 12.10 4.01 
 1.26 12.20 4.21 
 1.28 12.30 4.41 
 1.30 12.40 4.64 
 1.32 12.50 4.91 
 1.34 12.60 5.20 
 1.36 12.70 5.54 
 1.38 12.80 5.91 
 1.40 12.90 6.31 
 1.42 13.00 6.74 
 1.44 13.10 7.20 
 1.46 13.20 7.66 
 1.47 13.30 7.97 
 1.49 13.40 8.26 
 1.50 13.50 8.53 
 1.51 13.60 8.81 
 1.52 13.70 9.10 
 1.53 13.80 9.40 
 1.54 13.90 9.71 
 1.55 14.00 10.04 
 1.56 14.10 10.38 
 1.57 14.20 10.74 
 1.58 14.30 11.12 
 1.59 14.40 11.53 
 1.60 14.50 11.96 
 1.61 14.60 12.42 
 1.62 14.70 12.89 
 1.63 14.80 13.41 
 1.64 14.90 13.94 
 1.65 15.00 14.51 
 1.66 15.10 15.09 
 1.67 15.20 15.71 
 1.68 15.30 16.34 
 1.69 15.40 16.85 
 1.69 15.50 17.33 
 1.70 15.60 17.80 
 1.71 15.70 18.17 
 -INF 15.80 -INF 
 -INF 15.90 -INF 
 1.72 16.00 19.27 
 1.73 16.10 19.64 
 -INF 16.20 -INF 
 -INF 16.30 -INF 
 1.74 16.40 20.73 
 1.75 16.50 21.09 
 -INF 16.60 -INF 
 1.76 16.70 21.81 
 1.77 16.80 22.15 
 -INF 16.90 -INF 
 -INF 17.00 -INF 
 1.78 17.10 23.16 
 1.79 17.20 23.48 
 -INF 17.30 -INF 
 -INF 17.40 -INF 
 1.80 17.50 24.42 
 1.81 17.60 24.71 
 -INF 17.70 -INF 
 1.82 17.80 25.30 
 1.83 17.90 25.57 
 -INF 18.00 -INF 
 -INF 18.10 -INF 
 1.84 18.20 26.38 
 1.85 18.30 26.63 
 -INF 18.40 -INF 
 -INF 18.50 -INF 
 1.86 18.60 27.37 
 1.87 18.70 27.60 
 -INF 18.80 -INF 
 1.88 18.90 28.06 
 1.89 19.00 28.27 
 -INF 19.10 -INF 
 -INF 19.20 -INF 
 1.90 19.30 28.88 
 1.91 19.40 29.08 
 -INF 19.50 -INF 
 -INF 19.60 -INF 
 1.92 19.70 29.67 
 1.93 19.80 29.86 
 -INF 19.90 -INF 
 -INF 20.00 -INF 
 1.94 20.10 30.43 
 1.95 20.20 30.61 
 -INF 20.30 -INF 
 -INF 20.40 -INF 
 1.96 20.50 31.16 
 1.97 20.60 31.34 
 -INF 20.70 -INF 
 -INF 20.80 -INF 
 1.98 20.90 31.86 
 1.99 21.00 32.03 
 -INF 21.10 -INF 
 -INF 21.20 -INF 
 2.00 21.30 32.52 
 2.01 21.40 32.68 
 -INF 21.50 -INF 
 -INF 21.60 -INF 
 2.02 21.70 33.15 
 2.03 21.80 33.30 
 -INF 21.90 -INF 
 -INF 22.00 -INF 
 2.04 22.10 33.75 
 2.05 22.20 33.90 
 -INF 22.30 -INF 
 -INF 22.40 -INF 
 2.06 22.50 34.33 
 2.07 22.60 34.47 
 -INF 22.70 -INF 
 -INF 22.80 -INF 
 2.08 22.90 34.89 
 2.09 23.00 35.02 
 -INF 23.10 -INF 
 -INF 23.20 -INF 
 2.10 23.30 35.43 
 2.11 23.40 35.57 
 -INF 23.50 -INF 
 -INF 23.60 -INF 
 2.12 23.70 35.98 
 2.13 23.80 36.12 
 -INF 23.90 -INF 
 2.14 24.00 36.39 
 2.15 24.10 36.52 
 -INF 24.20 -INF 
 -INF 24.30 -INF 
 2.16 24.40 36.94 
 2.17 24.50 37.07 
 -INF 24.60 -INF 
 -INF 24.70 -INF 
 2.18 24.80 37.48 
 2.19 24.90 37.62 
 -INF 25.00 -INF 
 -INF 25.10 -INF 
 2.20 25.20 38.03 
 2.21 25.30 38.17 
 -INF 25.40 -INF 
 -INF 25.50 -INF 
 2.22 25.60 38.57 
 2.23 25.70 38.71 
 -INF 25.80 -INF 
 -INF 25.90 -INF 
 2.24 26.00 39.11 
 2.25 26.10 39.24 
 -INF 26.20 -INF 
 -INF 26.30 -INF 
 2.26 26.40 39.64 
 2.27 26.50 39.77 
 -INF 26.60 -INF 
 -INF 26.70 -INF 
 2.28 26.80 40.16 
 2.29 26.90 40.29 
 -INF 27.00 -INF 
 -INF 27.10 -INF 
 2.31 27.20 40.68 
 2.31 27.30 40.82 
 -INF 27.40 -INF 
 2.32 27.50 41.08 
 2.33 27.60 41.21 
 -INF 27.70 -INF 
 -INF 27.80 -INF 
 2.34 27.90 41.61 
 2.35 28.00 41.74 
 -INF 28.10 -INF 
 -INF 28.20 -INF 
 2.36 28.30 42.15 
 2.37 28.40 42.28 
 -INF 28.50 -INF 
 -INF 28.60 -INF 
 2.38 28.70 42.69 
 2.39 28.80 42.82 
 -INF 28.90 -INF 
 -INF 29.00 -INF 
 2.40 29.10 43.23 
 2.41 29.20 43.37 
 -INF 29.30 -INF 
 2.42 29.40 43.64 
 2.43 29.50 43.78 
 -INF 29.60 -INF 
 -INF 29.70 -INF 
 2.44 29.80 44.20 
 2.45 29.90 44.34 
 -INF 30.00 -INF 
 -INF 30.10 -INF 
 2.46 30.20 44.76 
 2.47 30.30 44.90 
 -INF 30.40 -INF 
 -INF 30.50 -INF 
 2.48 30.60 45.32 
 2.49 30.70 45.46 
 -INF 30.80 -INF 
 -INF 30.90 -INF 
 2.50 31.00 45.89 
 2.51 31.10 46.03 
 -INF 31.20 -INF 
 -INF 31.30 -INF 
 2.53 31.40 46.45 
 2.53 31.50 46.59 
 -INF 31.60 -INF 
 2.54 31.70 46.87 
 2.55 31.80 47.01 
 -INF 31.90 -INF 
 -INF 32.00 -INF 
 2.56 32.10 47.43 
 2.57 32.20 47.56 
 -INF 32.30 -INF 
 -INF 32.40 -INF 
 2.58 32.50 47.97 
 2.59 32.60 48.11 
 -INF 32.70 -INF 
 -INF 32.80 -INF 
 2.60 32.90 48.51 
 2.61 33.00 48.64 
 -INF 33.10 -INF 
 -INF 33.20 -INF 
 2.63 33.30 49.04 
 2.63 33.40 49.17 
 -INF 33.50 -INF 
 2.64 33.60 49.43 
 2.65 33.70 49.55 
 -INF 33.80 -INF 
 -INF 33.90 -INF 
 2.66 34.00 49.93 
 2.67 34.10 50.06 
 -INF 34.20 -INF 
 -INF 34.30 -INF 
 2.68 34.40 50.43 
 2.69 34.50 50.55 
 -INF 34.60 -INF 
 -INF 34.70 -INF 
 2.70 34.80 50.91 
 2.71 34.90 51.03 
 -INF 35.00 -INF 
 2.72 35.10 51.27 
 2.73 35.20 51.39 
 -INF 35.30 -INF 
 -INF 35.40 -INF 
 2.74 35.50 51.75 
 2.75 35.60 51.87 
 -INF 35.70 -INF 
 -INF 35.80 -INF 
 2.76 35.90 52.22 
 2.77 36.00 52.33 
 -INF 36.10 -INF 
 -INF 36.20 -INF 
 2.78 36.30 52.68 
 2.79 36.40 52.79 
 -INF 36.50 -INF 
 2.80 36.60 53.01 
 2.81 36.70 53.12 
 -INF 36.80 -INF 
 -INF 36.90 -INF 
 2.82 37.00 53.46 
 2.83 37.10 53.56 
 -INF 37.20 -INF 
 -INF 37.30 -INF 
 2.84 37.40 53.89 
 2.85 37.50 53.99 
 -INF 37.60 -INF 
 2.86 37.70 54.20 
 2.87 37.80 54.30 
 -INF 37.90 -INF 
 -INF 38.00 -INF 
 2.88 38.10 54.61 
 2.89 38.20 54.72 
 -INF 38.30 -INF 
 -INF 38.40 -INF 
 2.90 38.50 55.04 
 2.91 38.60 55.15 
 -INF 38.70 -INF 
 2.92 38.80 55.37 
 2.93 38.90 55.49 
 -INF 39.00 -INF 
 -INF 39.10 -INF 
 2.94 39.20 55.85 
 2.95 39.30 55.98 
 -INF 39.40 -INF 
 -INF 39.50 -INF 
 2.96 39.60 56.39 
 2.97 39.70 56.54 
 -INF 39.80 -INF 
 2.98 39.90 56.84 
 2.99 40.00 57.01 
