          s         mph       hp
          7.38      5.26      N/A       
          7.39      5.27      N/A       
          N/A       5.28      N/A       
          N/A       5.29      N/A       
          N/A       5.30      N/A       
          7.40      5.31      N/A       
          7.41      5.32      N/A       
          N/A       5.33      N/A       
          N/A       5.34      N/A       
          7.42      5.35      N/A       
          7.43      5.36      N/A       
          N/A       5.37      N/A       
          N/A       5.38      N/A       
          N/A       5.39      N/A       
          7.44      5.40      N/A       
          7.45      5.41      N/A       
          N/A       5.42      N/A       
          N/A       5.43      N/A       
          7.46      5.44      N/A       
          7.47      5.45      N/A       
          N/A       5.46      N/A       
          N/A       5.47      N/A       
          7.48      5.48      N/A       
          7.48      5.49      N/A       
          N/A       5.50      N/A       
          N/A       5.51      N/A       
          N/A       5.52      N/A       
          7.50      5.53      N/A       
          7.51      5.54      N/A       
          N/A       5.55      N/A       
          N/A       5.56      N/A       
          7.52      5.57      N/A       
          7.53      5.58      N/A       
          N/A       5.59      N/A       
          N/A       5.60      N/A       
          N/A       5.61      N/A       
          7.54      5.62      N/A       
          7.55      5.63      N/A       
          N/A       5.64      N/A       
          N/A       5.65      N/A       
          7.56      5.66      N/A       
          7.57      5.67      N/A       
          N/A       5.68      N/A       
          N/A       5.69      N/A       
          N/A       5.70      N/A       
          7.58      5.71      N/A       
          7.59      5.72      N/A       
          N/A       5.73      N/A       
          N/A       5.74      N/A       
          7.60      5.75      N/A       
          7.61      5.76      N/A       
          N/A       5.77      N/A       
          N/A       5.78      N/A       
          7.62      5.79      N/A       
          7.62      5.80      N/A       
          N/A       5.81      N/A       
          N/A       5.82      N/A       
          N/A       5.83      N/A       
          7.64      5.84      N/A       
          7.65      5.85      N/A       
          N/A       5.86      N/A       
          N/A       5.87      N/A       
          7.66      5.88      N/A       
          7.67      5.89      N/A       
          N/A       5.90      N/A       
          N/A       5.91      N/A       
          N/A       5.92      N/A       
          7.68      5.93      1.04      
          7.69      5.94      1.04      
          N/A       5.95      N/A       
          N/A       5.96      N/A       
          7.70      5.97      1.03      
          7.71      5.98      1.03      
          N/A       5.99      N/A       
          N/A       6.00      N/A       
          N/A       6.01      N/A       
          7.72      6.02      1.01      
          7.73      6.03      1.01      
          N/A       6.04      N/A       
          N/A       6.05      N/A       
          7.74      6.06      1.00      
          7.75      6.07      0.99      
          N/A       6.08      N/A       
