s mph hp
7.68 5.93 1.04
7.69 5.94 1.04
7.70 5.97 1.03
7.71 5.98 1.03
7.72 6.02 1.01
7.73 6.03 1.01
7.74 6.06 1.00
7.75 6.07 0.99
7.76 6.10 0.98
7.77 6.11 0.98
7.78 6.15 0.96
7.79 6.16 0.95
7.80 6.19 0.94
7.81 6.20 0.93
7.82 6.24 0.91
7.83 6.25 0.91
7.84 6.28 0.89
7.85 6.29 0.89
7.86 6.33 0.86
7.87 6.34 0.86
7.88 6.37 0.84
7.89 6.38 0.84
7.90 6.41 0.82
7.91 6.42 0.81
7.92 6.45 0.79
7.94 6.46 0.78
7.95 6.47 0.76
7.96 6.48 0.74
7.98 6.49 0.72
7.99 6.50 0.70
8.01 6.51 0.68
8.02 6.52 0.66
8.03 6.53 0.64
8.05 6.54 0.62
8.06 6.55 0.60
8.08 6.56 0.58
8.09 6.57 0.56
8.10 6.58 0.54
8.12 6.59 0.52
8.13 6.60 0.51
8.15 6.61 0.49
8.16 6.62 0.48
8.17 6.63 0.47
8.19 6.64 0.46
8.20 6.65 0.45
8.22 6.66 0.44
8.23 6.67 0.44
8.24 6.68 0.43
8.26 6.69 0.43
8.27 6.70 0.43
8.28 6.71 0.42
8.30 6.72 0.42
8.31 6.73 0.42
8.33 6.74 0.42
8.34 6.75 0.41
8.35 6.76 0.41
8.37 6.77 0.41
8.38 6.78 0.40
8.40 6.79 0.40
8.42 6.80 0.39
8.44 6.81 0.39
8.46 6.82 0.38
8.48 6.83 0.38
8.50 6.84 0.37
8.52 6.85 0.37
8.54 6.86 0.36
8.56 6.87 0.36
8.59 6.88 0.35
8.61 6.89 0.35
8.63 6.90 0.35
8.65 6.91 0.34
8.67 6.92 0.34
8.69 6.93 0.34
8.71 6.94 0.34
8.73 6.95 0.34
8.75 6.96 0.34
8.78 6.97 0.33
8.80 6.98 0.33
8.82 6.99 0.33
8.84 7.00 0.33
8.86 7.01 0.33
8.88 7.02 0.33
8.91 7.03 0.33
8.93 7.04 0.32
8.96 7.05 0.32
8.98 7.06 0.32
9.01 7.07 0.32
9.03 7.08 0.32
9.06 7.09 0.31
9.08 7.10 0.30
9.11 7.11 0.29
9.13 7.12 0.28
9.16 7.13 0.26
9.18 7.14 0.25
9.20 7.15 0.23
9.23 7.16 0.21
9.25 7.17 0.19
9.28 7.18 0.17
9.41 7.17 0.07
9.45 7.16 0.03
9.49 7.15 0.00
9.54 7.14 -0.02
9.58 7.13 -0.05
9.62 7.12 -0.07
9.66 7.11 -0.08
9.71 7.10 -0.10
9.75 7.09 -0.12
9.77 7.08 -0.13
9.79 7.07 -0.13
9.81 7.06 -0.14
9.82 7.05 -0.15
9.84 7.04 -0.15
9.86 7.03 -0.16
9.88 7.02 -0.17
9.89 7.01 -0.17
9.91 7.00 -0.18
9.93 6.99 -0.19
9.95 6.98 -0.19
9.96 6.97 -0.20
9.98 6.96 -0.20
10.00 6.95 -0.20
10.02 6.94 -0.20
10.04 6.93 -0.21
10.05 6.92 -0.21
10.07 6.91 -0.21
10.09 6.90 -0.21
10.11 6.89 -0.21
10.12 6.88 -0.21
10.14 6.87 -0.21
10.16 6.86 -0.21
10.18 6.85 -0.21
10.19 6.84 -0.21
10.21 6.83 -0.21
10.23 6.82 -0.20
10.25 6.81 -0.20
10.26 6.80 -0.20
10.28 6.79 -0.20
10.30 6.78 -0.20
10.32 6.77 -0.20
10.33 6.76 -0.20
10.35 6.75 -0.20
10.37 6.74 -0.20
10.38 6.73 -0.20
10.40 6.72 -0.20
10.42 6.71 -0.20
10.44 6.70 -0.20
10.45 6.69 -0.20
10.47 6.68 -0.20
10.49 6.67 -0.20
10.51 6.66 -0.20
10.52 6.65 -0.20
10.54 6.64 -0.20
10.56 6.63 -0.20
10.58 6.62 -0.20
10.59 6.61 -0.20
10.61 6.60 -0.20
10.63 6.59 -0.20
10.65 6.58 -0.19
10.66 6.57 -0.19
10.68 6.56 -0.19
10.70 6.55 -0.19
10.72 6.54 -0.19
10.73 6.53 -0.19
10.75 6.52 -0.19
10.77 6.51 -0.19
10.79 6.50 -0.19
10.81 6.49 -0.19
10.82 6.48 -0.19
10.84 6.47 -0.19
10.86 6.46 -0.19
10.88 6.45 -0.19
10.90 6.44 -0.19
10.91 6.43 -0.18
10.93 6.42 -0.18
10.95 6.41 -0.18
10.97 6.40 -0.18
10.99 6.39 -0.18
11.01 6.38 -0.18
11.02 6.37 -0.18
11.04 6.36 -0.18
11.06 6.35 -0.18
11.08 6.34 -0.18
11.10 6.33 -0.18
11.11 6.32 -0.18
11.13 6.31 -0.18
11.15 6.30 -0.18
11.17 6.29 -0.18
11.19 6.28 -0.18
11.20 6.27 -0.18
11.22 6.26 -0.18
11.24 6.25 -0.18
11.26 6.24 -0.18
11.28 6.23 -0.18
11.30 6.22 -0.18
11.31 6.21 -0.18
11.33 6.20 -0.18
11.35 6.19 -0.18
11.37 6.18 -0.18
11.39 6.17 -0.18
11.41 6.16 -0.17
11.42 6.15 -0.17
11.44 6.14 -0.17
11.46 6.13 -0.17
11.48 6.12 -0.17
11.50 6.11 -0.17
11.51 6.10 -0.17
11.53 6.09 -0.17
11.55 6.08 -0.17
11.57 6.07 -0.17
11.59 6.06 -0.17
11.61 6.05 -0.17
11.62 6.04 -0.17
11.64 6.03 -0.17
11.66 6.02 -0.17
11.68 6.01 -0.17
11.70 6.00 -0.17
11.72 5.99 -0.16
11.73 5.98 -0.16
11.75 5.97 -0.16
11.77 5.96 -0.16
11.79 5.95 -0.16
11.81 5.94 -0.16
11.83 5.93 -0.16
11.85 5.92 -0.16
11.87 5.91 -0.16
11.89 5.90 -0.16
11.91 5.89 -0.16
11.92 5.88 -0.16
11.94 5.87 -0.16
11.96 5.86 -0.16
11.98 5.85 -0.16
12.00 5.84 -0.16
12.02 5.83 -0.16
12.04 5.82 -0.16
12.06 5.81 -0.15
12.08 5.80 -0.15
12.10 5.79 -0.15
12.11 5.78 -0.15
12.13 5.77 -0.15
12.15 5.76 -0.15
12.17 5.75 -0.15
12.19 5.74 -0.15
12.21 5.73 -0.15
12.23 5.72 -0.15
12.25 5.71 -0.15
12.27 5.70 -0.15
12.29 5.69 -0.15
12.30 5.68 -0.15
12.32 5.67 -0.15
12.34 5.66 -0.15
12.36 5.65 -0.15
12.38 5.64 -0.15
12.40 5.63 -0.15
12.42 5.62 -0.15
12.44 5.61 -0.15
12.46 5.60 -0.15
12.48 5.59 -0.15
12.50 5.58 -0.15
12.52 5.57 -0.15
12.54 5.56 -0.14
12.56 5.55 -0.14
12.58 5.54 -0.14
12.59 5.53 -0.14
12.61 5.52 -0.14
12.63 5.51 -0.14
12.65 5.50 -0.14
12.67 5.49 -0.14
12.69 5.48 -0.14
12.71 5.47 -0.14
12.73 5.46 -0.14
12.75 5.45 -0.14
12.77 5.44 -0.14
12.79 5.43 -0.14
12.81 5.42 -0.14
12.83 5.41 -0.14
12.85 5.40 -0.14
12.87 5.39 -0.13
12.89 5.38 -0.13
12.91 5.37 -0.13
12.93 5.36 -0.13
12.95 5.35 -0.13
12.97 5.34 -0.13
12.99 5.33 -0.13
13.01 5.32 -0.13
13.03 5.31 -0.13
13.05 5.30 -0.13
13.07 5.29 -0.13
13.09 5.28 -0.13
13.11 5.27 -0.13
13.13 5.26 -0.12
13.15 5.25 -0.12
13.17 5.24 -0.12
13.19 5.23 -0.12
13.21 5.22 -0.12
13.23 5.21 -0.12
13.25 5.20 -0.11
13.27 5.19 -0.11
13.30 5.18 -0.11
13.32 5.17 -0.11
13.34 5.16 -0.10
13.36 5.15 -0.10
13.38 5.14 -0.10
13.40 5.13 -0.10
13.42 5.12 -0.10
13.44 5.11 -0.09
13.47 5.10 -0.09
13.50 5.09 -0.09
13.53 5.08 -0.09
13.56 5.07 -0.08
13.59 5.06 -0.08
13.61 5.05 -0.08
13.64 5.04 -0.08
13.67 5.03 -0.07
